Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure rHS,Q-Value,Q-Value based,Penetration
116,4899,2016-11-16 00:00:00,31,1.24,23.9,4.8,1800,6280,39,216,149,56,61,4,2,8.2
117,4900,2016-11-17 00:00:00,34,1.23,27.9,4.9,1900,6944,36,217,167,74,40,4,2,7.2
118,4901,2016-11-17 00:00:00,35,1.25,14.9,4.4,1100,5454,35,215,154,63,35,4,3,8
119,4902,2016-11-17 00:00:00,43,1.44,10.8,4.7,700,6485,33,217,202,66,48,4,4,7
120,4903,2016-11-17 00:00:00,29,1.25,13,4.6,1100,4902,42,216,133,28,79,4,4,9.3
121,4904,2016-11-17 00:00:00,27,1.26,9.9,4.2,1000,4026,46,215,113,33,82,4,4,11
122,4905,2016-11-17 00:00:00,26,1.22,9.1,3.6,1100,3331,47,216,94,48,61,4,5,13.2
123,4906,2016-11-17 00:00:00,26,1.24,10.8,3.9,1200,4231,47,197,101,51,47,4,4,12.1
124,4907,2016-11-17 00:00:00,30,1.25,10.3,3.9,1000,3016,41,195,117,39,32,4,4,10.6
125,4908,2016-11-18 00:00:00,30,1.26,10.7,3.8,1100,2617,42,198,114,36,33,4,4,11.1
126,4909,2016-11-18 00:00:00,33,1.54,7,3.7,800,2724,46,198,122,35,30,4,5,12.6
127,4910,2016-11-18 00:00:00,18,0.87,8.6,3.8,1000,2966,48,196,68,34,28,4,5,12.8
128,4911,2016-11-18 00:00:00,40,1.68,7.2,3.4,800,2914,41,200,136,37,30,4,5,12
129,4912,2016-11-18 00:00:00,33,1.52,8.3,3.2,1100,2783,46,199,106,39,31,4,5,14.5
130,4913,2016-11-18 00:00:00,27,1.23,8.4,3.1,1100,2601,44,189,84,37,31,4,5,14.2
131,4914,2016-11-18 00:00:00,34,1.52,7.4,3.4,900,3040,45,191,116,45,35,4,5,13.3
132,4915,2016-11-18 00:00:00,5,0.15,7.9,3.4,600,2546,28,186,17,81,79,4,5,8.3
133,4916,2016-11-18 00:00:00,24,1.08,8.8,3.5,1000,3465,43,188,84,49,57,4,5,12.2
